epoch_count,duration_days,temporal_spacing_mean_days,temporal_spacing_std_days,incidence_angle_mean_deg,incidence_angle_std_deg,coherence_mean,coherence_std,minimum_coherence,phase_quality_mean,phase_quality_std,noise_estimate_mean_mm,mean_displacement_mm,displacement_std_mm,displacement_range_mm,displacement_to_noise_ratio,mean_absolute_step_mm,max_absolute_step_mm,max_step_to_range_ratio,sign_change_count,zero_crossing_count,directional_consistency,slope_mm_per_year,linear_fit_residual_std_mm,acceleration_mm_per_year2,quadratic_fit_residual_std_mm,temporal_autocorrelation_lag1,approximate_periodicity_indicator,sample_id,target_label,is_edge_case,edge_case_type
6.0,81.38,16.28,0.12,32.2,0.0,0.1369,0.0453,0.1025,0.202,0.0272,3.641,0.1496,1.7239,5.716,1.57,2.7941,5.716,1.0,4.0,5.0,0.6,-6.6327,1.6485,21.8477,1.6476,-0.5946,0.7719,STRATA_SYN_LOW_QUALITY_00132,LOW_QUALITY,False,none
12.0,205.08,18.64,0.23,25.07,0.0,0.7805,0.0854,0.6545,0.8192,0.0648,1.852,-0.9838,3.4819,12.9988,7.019,3.3818,8.6737,0.6673,4.0,5.0,0.5455,-4.391,3.3947,-15.5195,3.388,0.2995,0.7189,STRATA_SYN_ATMOSPHERIC_TRANSIENT_00076,ATMOSPHERIC_TRANSIENT,False,none
13.0,266.53,22.21,0.29,32.86,0.0,0.8306,0.0678,0.7332,0.8577,0.0528,2.767,-0.3001,3.0097,10.4672,3.783,3.921,10.4672,1.0,8.0,5.0,0.5833,-5.2181,2.7653,28.8571,2.6845,-0.375,0.3808,STRATA_SYN_STRUCTURAL_MONOTONIC_00118,STRUCTURAL_MONOTONIC,False,none
9.0,135.45,16.93,0.3,27.12,0.0,0.772,0.1009,0.6503,0.8098,0.0732,3.0,0.3449,1.8184,6.313,2.104,2.2462,3.8416,0.6085,4.0,5.0,0.625,4.927,1.72,35.4606,1.7055,0.1079,0.9207,STRATA_SYN_STABLE_00101,STABLE,True,elevated_noise_stable
7.0,55.57,9.26,0.22,30.44,0.0,0.7366,0.0736,0.6521,0.8713,0.0313,2.186,-0.6135,2.2784,7.055,3.227,3.0808,7.055,1.0,5.0,2.0,0.5,-10.292,2.2176,1390.5602,1.5892,-0.3858,0.479,STRATA_SYN_STRUCTURAL_MONOTONIC_00343,STRUCTURAL_MONOTONIC,False,none
16.0,276.34,18.42,0.33,35.71,0.0,0.7506,0.0783,0.66,0.8173,0.0772,2.217,1.8539,3.9049,11.2052,5.054,6.2724,10.9937,0.9811,14.0,11.0,0.5333,6.5166,3.5987,6.4289,3.5954,-0.5358,0.0706,STRATA_SYN_TEMPORALLY_INCONSISTENT_00277,TEMPORALLY_INCONSISTENT,False,none
9.0,130.45,16.31,0.3,25.48,0.0,0.827,0.0708,0.7128,0.8149,0.0797,2.865,-0.1716,2.5817,8.5713,2.992,3.3503,7.2309,0.8436,5.0,5.0,0.5,-10.9317,2.251,-26.3024,2.2458,-0.1619,0.667,STRATA_SYN_STABLE_00219,STABLE,False,none
18.0,396.4,23.32,0.25,37.05,0.0,0.8088,0.0903,0.6572,0.8448,0.0708,0.693,-0.0669,0.5833,2.0369,2.939,0.7532,1.7106,0.8398,12.0,10.0,0.5294,-0.2566,0.5771,-1.5809,0.5719,-0.1974,0.602,STRATA_SYN_STABLE_00251,STABLE,False,none
13.0,231.0,19.25,0.24,25.34,0.0,0.7958,0.0852,0.6509,0.8183,0.0755,1.633,-2.7876,2.3116,6.6237,4.056,1.3616,2.7178,0.4103,7.0,2.0,0.5833,-10.3497,1.0921,-26.0846,0.9952,0.6712,0.1013,STRATA_SYN_STRUCTURAL_MONOTONIC_00421,STRUCTURAL_MONOTONIC,False,none
15.0,100.28,7.16,0.21,35.17,0.0,0.8182,0.0874,0.6714,0.8004,0.0709,2.378,-0.6314,2.1665,8.4246,3.543,2.5993,6.5907,0.7823,9.0,7.0,0.5714,4.4143,2.1339,57.0286,2.1261,-0.0247,0.8962,STRATA_SYN_STABLE_00138,STABLE,False,none
10.0,198.32,22.04,0.17,31.04,0.0,0.7707,0.101,0.6679,0.7995,0.0815,1.537,-1.566,3.3558,12.8065,8.332,4.4423,12.8065,1.0,7.0,4.0,0.5556,2.7208,3.3225,60.1901,3.2257,-0.4315,0.8979,STRATA_SYN_ATMOSPHERIC_TRANSIENT_00249,ATMOSPHERIC_TRANSIENT,False,none
16.0,137.19,9.15,0.28,36.3,0.0,0.8232,0.0964,0.6647,0.8398,0.0733,2.118,-5.6371,3.2116,11.8225,5.582,2.689,7.6814,0.6497,9.0,3.0,0.5333,-13.0953,2.833,258.4574,2.3839,0.2436,0.2072,STRATA_SYN_SEASONAL_ENVIRONMENTAL_00242,SEASONAL_ENVIRONMENTAL,False,none
11.0,217.72,21.77,0.24,43.18,0.0,0.8298,0.088,0.6679,0.8544,0.0461,1.112,0.2402,1.162,3.6466,3.279,1.5355,2.7181,0.7454,6.0,5.0,0.6,0.5328,1.1577,-21.6403,1.1069,-0.0795,0.4925,STRATA_SYN_STABLE_00204,STABLE,False,none
8.0,96.18,13.74,0.22,37.8,0.0,0.7927,0.0926,0.6707,0.7866,0.0654,1.627,1.0903,1.6317,5.1344,3.156,1.9144,3.1455,0.6126,3.0,1.0,0.5714,5.9528,1.5482,-352.8919,1.0443,-0.028,0.0,STRATA_SYN_ATMOSPHERIC_TRANSIENT_00245,ATMOSPHERIC_TRANSIENT,False,none
15.0,160.34,11.45,0.29,28.5,0.0,0.7865,0.082,0.6642,0.8308,0.0641,0.684,-1.1094,1.0293,3.792,5.544,0.8977,2.2614,0.5964,10.0,4.0,0.5714,-5.9607,0.6369,-22.4961,0.6101,0.4061,0.281,STRATA_SYN_STRUCTURAL_MONOTONIC_00127,STRUCTURAL_MONOTONIC,False,none
19.0,325.29,18.07,0.24,36.71,0.0,0.8156,0.0883,0.655,0.8433,0.076,0.883,-1.3674,1.4112,5.0758,5.748,1.1405,3.6761,0.7242,11.0,6.0,0.5556,-3.9553,0.9168,-6.5223,0.8916,0.3896,0.3457,STRATA_SYN_STRUCTURAL_ACCELERATING_00363,STRUCTURAL_ACCELERATING,False,none
17.0,271.1,16.94,0.26,28.72,0.0,0.8109,0.0679,0.7092,0.792,0.0585,1.597,-2.2408,1.9832,7.7777,4.87,1.9984,5.1801,0.666,10.0,4.0,0.625,-5.3219,1.5726,-15.9911,1.529,0.1742,0.2423,STRATA_SYN_STRUCTURAL_ACCELERATING_00052,STRUCTURAL_ACCELERATING,False,none
14.0,166.22,12.79,0.33,42.89,0.0,0.8413,0.0681,0.6873,0.8148,0.0819,1.556,3.3913,3.7142,10.0722,6.473,7.033,9.4309,0.9363,12.0,8.0,0.5385,-2.6247,3.6958,-7.7133,3.6951,-0.8256,0.7655,STRATA_SYN_TEMPORALLY_INCONSISTENT_00311,TEMPORALLY_INCONSISTENT,False,none
15.0,88.83,6.34,0.22,35.23,0.0,0.8306,0.1058,0.6714,0.8071,0.0612,1.402,-0.111,2.6298,13.2468,9.449,2.8427,9.1995,0.6945,10.0,10.0,0.5,-2.0199,2.6254,-136.1116,2.6031,-0.0639,0.917,STRATA_SYN_STRUCTURAL_MONOTONIC_00359,STRUCTURAL_MONOTONIC,True,structural_with_atmospheric_spike
10.0,133.29,14.81,0.17,41.17,0.0,0.7956,0.0955,0.6749,0.8577,0.0771,2.836,0.8147,2.491,8.2275,2.901,2.2464,6.0878,0.7399,3.0,4.0,0.6667,6.4214,2.376,265.189,1.7706,0.0582,0.7619,STRATA_SYN_STABLE_00419,STABLE,False,none
9.0,146.42,18.3,0.27,33.0,0.0,0.8225,0.0737,0.6958,0.8181,0.0553,0.548,0.1475,0.3311,1.2245,2.234,0.4298,1.2245,1.0,4.0,5.0,0.5,-0.5557,0.3231,8.6764,0.3168,-0.434,0.2876,STRATA_SYN_STABLE_00496,STABLE,False,none
